StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,House Features_1,House Features_2,House Features_3,House Features_4,House Features_5,House Features_6,House Features_7,House Features_8,Neighborhood Feature_1,Neighborhood Feature_2,Neighborhood Feature_3,Neighborhood Feature_4,Neighborhood Feature_5,Neighborhood Feature_6,Neighborhood Feature_7,Neighborhood Feature_8,Neighborhood Feature_9,Neighborhood Feature_10,Neighborhood Feature_11,Location Features_1,Location Features_2,Location Features_3,Location Features_12,Location Features_4,Location Features_5,Location Features_6,Location Features_7,Location Features_8,Location Features_9,Location Features_10,Location Features_11,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q10#1_5,Q10#1_6,Q10#1_7,Q10#1_8,Q10#2_1,Q10#2_2,Q10#2_3,Q10#2_4,Q10#2_5,Q10#2_6,Q10#2_7,Q10#2_8,Q10#3_1,Q10#3_2,Q10#3_3,Q10#3_4,Q10#3_5,Q10#3_6,Q10#3_7,Q10#3_8,Q11
2018-06-16 01:43:54,2018-06-16 01:44:43,Survey Preview,,100,49,True,2018-06-16 01:44:44,R_2bTW7lmS8e611Fk,,,,,37.550994873047,-122.07780456543,preview,EN,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,"Must Have
( I have a strict min/max )",Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )",Not Important,Not Important,"Must Have
( I have a strict min/max )",,,,,Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Not Important,Not Important,Useful to have,Not Important,Not Important,,,,,,,,,,,,,,,,,1,,,,,1,,,
2018-06-16 01:46:12,2018-06-16 01:46:43,Survey Preview,,100,30,True,2018-06-16 01:46:43,R_AmQG4BfTF4zSUUN,,,,,37.550994873047,-122.07780456543,preview,EN,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,,,,,,,,,,,,,Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,,,,,,,,,,,,,,1,,,,,,,,1,,1,
2018-06-16 01:46:45,2018-06-16 01:47:14,Survey Preview,,100,29,True,2018-06-16 01:47:15,R_AG1hCF7jZLrHImB,,,,,37.550994873047,-122.07780456543,preview,EN,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",,"Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )",,,,,,,,,,Useful to have,Useful to have,Useful to have,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 08:08:21,2018-06-16 08:10:14,Survey Preview,,100,112,True,2018-06-16 08:10:14,R_eEcoKSoTAYOGYnf,,,,,37.550994873047,-122.07780456543,preview,EN,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )",Useful to have,Not Important,Not Important,,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Not Important,Useful to have,Useful to have,Not Important,Not Important,1,,,,1,1,,,,,,,,,,,,,,,1,1,,,dsada
2018-06-16 08:10:20,2018-06-16 08:11:13,Survey Preview,,100,53,True,2018-06-16 08:11:14,R_2CcQ4R3LEJoZvwI,,,,,37.550994873047,-122.07780456543,preview,EN,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,Useful to have,,,,,,,,Not Important,Not Important,Not Important,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-17 18:13:34,2018-06-17 18:15:16,Survey Preview,,100,102,True,2018-06-17 18:15:16,R_8dnUoTq4oz2LVC1,,,,,37.550994873047,-122.07780456543,preview,EN,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Not Important,Useful to have,Useful to have,Useful to have,Not Important,Not Important,Not Important,Not Important,Not Important,Useful to have,Not Important,Useful to have,Useful to have,Useful to have,Not Important,,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Not Important,Not Important,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,xxx
2018-06-17 18:16:20,2018-06-17 18:16:33,IP Address,73.231.61.32,100,12,True,2018-06-17 18:16:33,R_3JrW5j0dBIIaM5p,,,,,37.550994873047,-122.07780456543,anonymous,EN,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-19 09:31:14,2018-06-19 09:35:01,IP Address,174.207.9.78,100,226,True,2018-06-19 09:35:01,R_3k5meDq3mWSMU3X,,,,,30.262298583984,-97.74649810791,anonymous,EN,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Not Important,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Not Important,Not Important,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Not Important,Useful to have,"Must Have
( I have a strict min/max )",Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,1,,,,,,,,,,,1,1,,1,1,,1,1,,,1,,,
2018-06-19 09:32:33,2018-06-19 09:39:40,IP Address,38.140.7.60,100,426,True,2018-06-19 09:39:41,R_3LaRo1obh4uEq5V,,,,,33.837905883789,-84.38459777832,anonymous,EN,"Must Have
( I have a strict min/max )",Not Important,"Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )",Not Important,Not Important,Useful to have,Not Important,Not Important,Not Important,Useful to have,Useful to have,Not Important,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,Yard size
2018-06-19 13:23:17,2018-06-19 13:26:48,IP Address,207.172.94.230,100,210,True,2018-06-19 13:26:48,R_3dLzpsWeInRuNPg,,,,,38.892700195312,-76.943000793457,anonymous,EN,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,Useful to have,Useful to have,Not Important,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,"Must Have
( I have a strict min/max )",Useful to have,Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,,,,,1,,,,,,,1,,,,,1,1,1,,,1,1,1,
2018-06-19 21:41:06,2018-06-19 21:43:29,IP Address,92.216.225.72,100,143,True,2018-06-19 21:43:30,R_3HZAeeeNeF1PDYO,,,,,50.12190246582,8.6654968261719,anonymous,EN,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,
2018-06-20 21:29:23,2018-06-20 21:43:25,IP Address,162.246.100.13,100,842,True,2018-06-20 21:43:26,R_1cUl4MpbEFt8efD,,,,,40.290298461914,-111.72360229492,anonymous,EN,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,Useful to have,Not Important,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,"Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,Not Important,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,,,,,,,,,1,1,,,,1,1,1,,,,,1,,,,
2018-06-21 09:13:00,2018-06-21 09:25:43,IP Address,67.82.42.165,100,762,True,2018-06-21 09:25:44,R_1Q4pU4GIF9p9OKV,,,,,40.837295532227,-73.693801879883,anonymous,EN,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Not Important,Useful to have,Useful to have,Not Important,Useful to have,Useful to have,Useful to have,Not Important,Not Important,Useful to have,Not Important,Not Important,"Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )",Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,1,,,,,,,,,1,,1,1,1,1,1,,,1,,,,,,
2018-06-21 11:06:29,2018-06-21 11:09:14,IP Address,73.239.201.188,100,165,True,2018-06-21 11:09:15,R_1hYKHzHZ5L15kZj,,,,,47.620101928711,-122.16529846191,anonymous,EN,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Not Important,Not Important,Useful to have,"Must Have
( I have preferences, but no min/max )",Not Important,Not Important,"Must Have
( I have preferences, but no min/max )",Useful to have,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,1,,,,1,1,1,1,,,,,1,1,,,,1,1,1,,,,,
2018-06-21 11:41:38,2018-06-21 11:44:49,IP Address,204.128.192.33,100,190,True,2018-06-21 11:44:49,R_27OPDIps5Lzc7rr,,,,,34.100601196289,-118.32749938965,anonymous,EN,"Must Have
( I have a strict min/max )",Useful to have,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,Not Important,Useful to have,Not Important,Not Important,Not Important,Useful to have,Not Important,Not Important,"Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,
